TVBS频道,#genre#  
第一财经,http://101.81.238.167:4022/udp/239.45.3.211:5140
第一财经,http://origin.lean.org.cn:4000/udp/239.45.3.211:5140

第一财经,http://gslbservzqhsw.itv.cmvideo.cn/5000000010000017540/1.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3
第一财经,http://gslbservzqhsw.itv.cmvideo.cn/5000000010000027146/1.m3u8?channel-id=bestzb&Contentid=5000000010000027146&livemode=1&stbId=3


重温经典,#genre#  
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8


好消息频道,#genre#  
好消息频道,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8

好消息频道,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8



点掌财经,#genre#  
点掌财经,https://wsvideo.aniu.tv/live/aniu/playlist.m3u8
